Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price,cpu_brand,cpu_series,touch,is_new,has_discrete_gpu,price_per_ram_gb,price_per_storage_gb,price_tier,ram_tier
"ASUS TUF Dash F15 FX517ZE-HN050 Intel Core i7-12650H/16GB/512GB SSD/RTX 3050Ti/15.6""",New,ASUS,TUF,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,1299.0,Intel,Core i7,0,1,1,81.19,2.5371,High-end,Mid (16GB)
MSI Stealth 15 A13VF-019XES Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/15.6'',New,MSI,Stealth,Intel Core i7,16,1000,SSD,RTX 4060,15.6,No,1799.0,Intel,Core i7,0,1,1,112.44,1.799,Premium,Mid (16GB)
"MSI Katana GF66 12UE-1202XES Intel Core i7-12650H/16GB/512GB SSD/RTX 3060/15.6""",New,MSI,Katana,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1299.0,Intel,Core i7,0,1,1,81.19,2.5371,High-end,Mid (16GB)
"MSI Modern 15 B13M-283ES Intel Core i7-1355U/16GB/1TB SSD/15.6""",New,MSI,Modern,Intel Core i7,16,1000,SSD,Integrated,15.6,No,1169.01,Intel,Core i7,0,1,0,73.06,1.169,High-end,Mid (16GB)
"ASUS Chromebook Vibe CX34 Flip CX3401FBA-N90030 Intel Core i5-1235U/8GB/256GB SSD/14"" Táctil",New,ASUS,Chromebook,Intel Core i5,8,256,SSD,Integrated,14.0,Yes,899.0,Intel,Core i5,1,1,0,112.38,3.5117,Mid-range,Low (<=8GB)
"Lenovo ThinkBook 16 G4+ IAP Intel Core i5-1235U/16GB/512GB SSD/16""",New,Lenovo,ThinkBook,Intel Core i5,16,512,SSD,Integrated,16.0,No,1089.0,Intel,Core i5,0,1,0,68.06,2.127,High-end,Mid (16GB)
"ASUS ZenBook 14X OLED UM5401QA-L7177 AMD Ryzen 7 5800H/16GB/512GB SSD/14""",New,ASUS,ZenBook,AMD Ryzen 7,16,512,SSD,Integrated,14.0,No,1199.0,AMD,Ryzen 7,0,1,0,74.94,2.3418,High-end,Mid (16GB)
"Gigabyte AERO 16 XE5-73ES938HP Intel Core i7-12700H/16GB/2TB SSD/RTX 3070Ti/16""",New,Gigabyte,Aero,Intel Core i7,16,2000,SSD,RTX 3070,16.0,No,2899.0,Intel,Core i7,0,1,1,181.19,1.4495,Premium,Mid (16GB)
"Apple Macbook Air 2023 Apple M2/8GB/256GB SSD/GPU Deca Core/15.3"" Medianoche",New,Apple,MacBook Air,Apple M2,8,256,SSD,Integrated,15.3,No,1599.0,Apple,Apple M,0,1,0,199.88,6.2461,Premium,Low (<=8GB)
"Lenovo IdeaPad 3 AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,Integrated,15.6,No,499.0,AMD,Ryzen 3,0,1,0,62.38,1.9492,Budget,Low (<=8GB)
"Acer Nitro 5 AN515-58-7571 Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/15.6""",New,Acer,Nitro,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1499.0,Intel,Core i7,0,1,1,93.69,2.9277,High-end,Mid (16GB)
"MSI Prestige 16 Studio A13VE-046XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4050/16""",New,MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 4050,16.0,No,1899.0,Intel,Core i7,0,1,1,118.69,1.899,Premium,Mid (16GB)
"ASUS ZenBook 13 OLED UX325EA-KG744W Intel Evo Core i7-1165G7/16GB/512GB SSD/13.3""",New,ASUS,ZenBook,Intel Evo Core i7,16,512,SSD,Integrated,13.3,No,1199.0,Intel,Core i7,0,1,0,74.94,2.3418,High-end,Mid (16GB)
"MSI Bravo 15 B5ED-018XES AMD Ryzen 7 5800H/16GB/512GB SSD/RX6500M/15.6""",New,MSI,Bravo,AMD Ryzen 7,16,512,SSD,RX 6500M,15.6,No,999.0,AMD,Ryzen 7,0,1,1,62.44,1.9512,Mid-range,Mid (16GB)
"ASUS TUF Gaming A15 2023 FA507NU-LP045 AMD Ryzen 7 7735HS/16GB/512GB SSD/RTX 4050/15.6""",New,ASUS,TUF,AMD Ryzen 7,16,512,SSD,RTX 4050,15.6,No,1139.01,AMD,Ryzen 7,0,1,1,71.19,2.2246,High-end,Mid (16GB)
"HP Chromebook 15a-na0000ns Intel Celeron N4500/4GB/64GB eMMC/15.6""",New,HP,Chromebook,Intel Celeron,4,64,eMMC,Integrated,15.6,No,376.0,Intel,Celeron,0,1,0,94.0,5.875,Budget,Low (<=8GB)
"HP OMEN 17-cm2006ns Intel Core i7-13700HX/32GB/1TB SSD/RTX 4070/17.3""",New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 4070,17.3,No,1999.0,Intel,Core i7,0,1,1,62.47,1.999,Premium,High (32GB)
"Lenovo Yoga Slim 7 ProX 14IAH7 Intel Evo Core i5-12500H/16GB/512GB SSD/14.5""",New,Lenovo,Yoga,Intel Evo Core i5,16,512,SSD,Integrated,14.5,No,1529.0,Intel,Core i5,0,1,0,95.56,2.9863,Premium,Mid (16GB)
"ASUS ExpertBook B1 B1500CEAE-BQ2834X Intel Core i5-1135G7/16GB/512GB SSD/15.6""",New,ASUS,ExpertBook,Intel Core i5,16,512,SSD,Integrated,15.6,No,799.0,Intel,Core i5,0,1,0,49.94,1.5605,Mid-range,Mid (16GB)
"MSI Pulse GL76 12UEK-827XES Intel Core i9-12900H/32GB/1TB SSD/RTX 3060/17.3""",New,MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 3060,17.3,No,1599.0,Intel,Core i9,0,1,1,49.97,1.599,Premium,High (32GB)
"Acer Aspire 5 A515-57-51Q4 Intel Core i5-1235U/8GB/512GB SSD/MX550/15.6""",New,Acer,Aspire,Intel Core i5,8,512,SSD,MX 550,15.6,No,1209.01,Intel,Core i5,0,1,1,151.13,2.3613,High-end,Low (<=8GB)
"Lenovo V15 G2 ITL Intel Core i7-1165G7/16 GB/512 GB SSD/15.6""",New,Lenovo,V15,Intel Core i7,16,512,SSD,Integrated,15.6,No,699.0,Intel,Core i7,0,1,0,43.69,1.3652,Mid-range,Mid (16GB)
"Lenovo ThinkBook 14s Yoga G2 IAP Intel Core i5-1235U/8GB/256GB SSD/14"" Táctil",New,Lenovo,ThinkBook,Intel Core i5,8,256,SSD,Integrated,14.0,Yes,1163.02,Intel,Core i5,1,1,0,145.38,4.543,High-end,Low (<=8GB)
"ASUS F1500EA-BQ3074W Intel Core i3-1115G4/8GB/512GB SSD/15.6""",New,ASUS,VivoBook,Intel Core i3,8,512,SSD,Integrated,15.6,No,499.0,Intel,Core i3,0,1,0,62.38,0.9746,Budget,Low (<=8GB)
"ASUS P1512CEA-EJ0213X Intel Core i5-1135G7/8GB/256GB SSD/15.6""",New,ASUS,ExpertBook,Intel Core i5,8,256,SSD,Integrated,15.6,No,609.0,Intel,Core i5,0,1,0,76.12,2.3789,Mid-range,Low (<=8GB)
"ASUS VivoBook Flip TP470EA-EC402W Intel Core i5-1135G7/8GB/512GB SSD/14"" Táctil",New,ASUS,VivoBook,Intel Core i5,8,512,SSD,Integrated,14.0,Yes,899.0,Intel,Core i5,1,1,0,112.38,1.7559,Mid-range,Low (<=8GB)
"Lenovo IdeaPad 5 Pro 14ITL6 Intel Core i7-1165G7/8GB/512GB SSD/14""",New,Lenovo,IdeaPad,Intel Core i7,8,512,SSD,Integrated,14.0,No,999.0,Intel,Core i7,0,1,0,124.88,1.9512,Mid-range,Low (<=8GB)
"MSI Stealth 14 Studio A13VG-047XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4070/14""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,14.0,No,2549.01,Intel,Core i7,0,1,1,79.66,2.549,Premium,High (32GB)
