Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price,cpu_brand,cpu_series,touch,is_new,has_discrete_gpu,price_per_ram_gb,price_per_storage_gb,price_tier,ram_tier
"Apple MacBook Pro Apple M2 Pro 10 Núcleos/16GB/512GB SSD/14.2"" Plata",New,Apple,MacBook Pro,Apple M2 Pro,16,512,SSD,Integrated,14.2,No,2269.0,Apple,Apple M,0,1,0,141.81,4.4316,Premium,Mid (16GB)
"ASUS ROG Strix Scar 18 2023 G834JZ-N6004W Intel Core i9-13980HX/32GB/1TB SSD/RTX 4080/18""",New,ASUS,ROG,Intel Core i9,32,1000,SSD,RTX 4080,18.0,No,3399.0,Intel,Core i9,0,1,1,106.22,3.399,Premium,High (32GB)
"ASUS F1500EA-BQ3065W Intel Core i5-1135G7/8GB/512GB SSD/15.6""",New,ASUS,VivoBook,Intel Core i5,8,512,SSD,Integrated,15.6,No,509.0,Intel,Core i5,0,1,0,63.62,0.9941,Mid-range,Low (<=8GB)
"Apple MacBook Air Apple M1/16 GB/512GB SSD/GPU Hepta Core/13.3"" Gris Espacial",New,Apple,MacBook Air,Apple M1,16,512,SSD,Integrated,13.3,No,1569.01,Apple,Apple M,0,1,0,98.06,3.0645,Premium,Mid (16GB)
"ASUS Expertbook B9 B9400CBA-KC0681X Intel Core i7-1255U/16GB/512GB SSD/14""",New,ASUS,ExpertBook,Intel Core i7,16,512,SSD,Integrated,14.0,No,1719.0,Intel,Core i7,0,1,0,107.44,3.3574,Premium,Mid (16GB)
ASUS M515UA-R55BHDSB2 AMD Ryzen 5 5500U/16GB/256GB SSD/15.6'' (PT),New,ASUS,M515UA,AMD Ryzen 5,16,256,SSD,Integrated,15.6,No,625.41,AMD,Ryzen 5,0,1,0,39.09,2.443,Mid-range,Mid (16GB)
"Apple Macbook Pro Apple M2/16GB/512GB SSD/GPU Deca Core/13.3"" Gris Espacial",New,Apple,MacBook Pro,Apple M2,16,512,SSD,Integrated,13.3,No,1899.01,Apple,Apple M,0,1,0,118.69,3.709,Premium,Mid (16GB)
"ASUS VivoBook F1500EA-BQ2361W Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,ASUS,VivoBook,Intel Core i3,8,256,SSD,Integrated,15.6,No,396.0,Intel,Core i3,0,1,0,49.5,1.5469,Budget,Low (<=8GB)
"Medion Akoya S15449-MD62128 Intel Core i5-1135G7/8GB/512GB SSD/15.6""",New,Medion,Akoya,Intel Core i5,8,512,SSD,Integrated,15.6,No,669.01,Intel,Core i5,0,1,0,83.63,1.3067,Mid-range,Low (<=8GB)
"ASUS TUF Gaming A16 Advantage Edition 2023 FA617NS-N3020 AMD Ryzen 7 7735HS/16GB/1TB SSD/Radeon RX 7600S/16""",New,ASUS,TUF,AMD Ryzen 7,16,1000,SSD,RX 7600S,16.0,No,1499.0,AMD,Ryzen 7,0,1,1,93.69,1.499,High-end,Mid (16GB)
"Apple Macbook Air 2023 Apple M2/8GB/512GB SSD/GPU Deca Core/15.3"" Medianoche",New,Apple,MacBook Air,Apple M2,8,512,SSD,Integrated,15.3,No,1829.0,Apple,Apple M,0,1,0,228.62,3.5723,Premium,Low (<=8GB)
"Acer Aspire 3 A315-58 Intel Core i7-1165G7/8GB/512GB SSD/15.6""",New,Acer,Aspire,Intel Core i7,8,512,SSD,Integrated,15.6,No,729.0,Intel,Core i7,0,1,0,91.12,1.4238,Mid-range,Low (<=8GB)
"HP Pavilion x360 14-ek0015ns Intel Core i5-1235U/8GB/512GB SSD/14"" Táctil",New,HP,Pavilion,Intel Core i5,8,512,SSD,Integrated,14.0,Yes,1149.0,Intel,Core i5,1,1,0,143.62,2.2441,High-end,Low (<=8GB)
"HP ProBook 455 G10 AMD Ryzen 5 7530U/16GB/512GB SSD/15.6""",New,HP,ProBook,AMD Ryzen 5,16,512,SSD,Integrated,15.6,No,799.0,AMD,Ryzen 5,0,1,0,49.94,1.5605,Mid-range,Mid (16GB)
"MSI Raider GE68HX 13VG-042XES Intel Core i9-13950HX/32GB/1TB SSD/RTX 4070/16""",New,MSI,Raider,Intel Core i9,32,1000,SSD,RTX 4070,16.0,No,3099.0,Intel,Core i9,0,1,1,96.84,3.099,Premium,High (32GB)
"Acer Predator Helios 300 PH315-55-7174 Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/15.6""",New,Acer,Predator,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1779.0,Intel,Core i7,0,1,1,111.19,3.4746,Premium,Mid (16GB)
"HP 250 G9 Intel Core i7-1255U/16 GB/512GB SSD/15.6""",New,HP,250,Intel Core i7,16,512,SSD,Integrated,15.6,No,819.0,Intel,Core i7,0,1,0,51.19,1.5996,Mid-range,Mid (16GB)
"HP Envy 16-h0002ns Intel Evo Core i7-12700H/16GB/1TB SSD/Intel Arc A370M/16""",New,HP,Envy,Intel Evo Core i7,16,1000,SSD,A 370M,16.0,No,1799.0,Intel,Core i7,0,1,1,112.44,1.799,Premium,Mid (16GB)
"ASUS TUF Gaming A16 Advantage Edition 2023 FA617XS-N3035 AMD Ryzen 9 7940HS/16GB/1TB SSD/Radeon RX 7600S/16""",New,ASUS,TUF,AMD Ryzen 9,16,1000,SSD,RX 7600S,16.0,No,1699.0,AMD,Ryzen 9,0,1,1,106.19,1.699,Premium,Mid (16GB)
"ASUS TUF Gaming F15 FX506LHB-HN324 Intel Core i5-10300H/16GB/512GB SSD/GTX 1650/15.6""",New,ASUS,TUF,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,999.0,Intel,Core i5,0,1,1,62.44,1.9512,Mid-range,Mid (16GB)
"HP 250 G8 Intel Celeron N4020/8 GB/256 GB SSD/15.6""",New,HP,250,Intel Celeron,8,256,SSD,Integrated,15.6,No,383.26,Intel,Celeron,0,1,0,47.91,1.4971,Budget,Low (<=8GB)
"HP ChromeBook x360 14a-ca0029ns Intel Celeron N4120/4GB/64GB eMMC/14"" Táctil",New,HP,Chromebook,Intel Celeron,4,64,eMMC,Integrated,14.0,Yes,399.0,Intel,Celeron,1,1,0,99.75,6.2344,Budget,Low (<=8GB)
"ASUS ROG Strix G16 G614JI-N4089W Intel Core i9-13980HX/32GB/1TB SSD/RTX 4070/16""",New,ASUS,ROG,Intel Core i9,32,1000,SSD,RTX 4070,16.0,No,2699.0,Intel,Core i9,0,1,1,84.34,2.699,Premium,High (32GB)
"MSI Raider GE78HX 13VG-041XES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4070/17""",New,MSI,Raider,Intel Core i7,32,1000,SSD,RTX 4070,17.0,No,2799.0,Intel,Core i7,0,1,1,87.47,2.799,Premium,High (32GB)
"MSI Modern 14 C12M-076ES Intel Core i7-1255U/16GB/512GB SSD/14""",Refurbished,MSI,Modern,Intel Core i7,16,512,SSD,Integrated,14.0,No,1099.0,Intel,Core i7,0,0,0,68.69,2.1465,High-end,Mid (16GB)
"Acer Aspire 3 A315-34 Intel Celeron N4020/8 GB/256GB SSD/15.6""",New,Acer,Aspire,Intel Celeron,8,256,SSD,Integrated,15.6,No,306.99,Intel,Celeron,0,1,0,38.37,1.1992,Budget,Low (<=8GB)
"PcCom Revolt 3060 Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/15.6""",New,Pccom,Revolt,Intel Core i7,32,1000,SSD,RTX 3060,15.6,No,1649.0,Intel,Core i7,0,1,1,51.53,1.649,Premium,High (32GB)
"Microsoft Surface Laptop Go 2 Intel Core i5-1135G7/8GB/256GB SSD/12.4"" Táctil",New,Microsoft,Surface Laptop,Intel Core i5,8,256,SSD,Integrated,12.4,Yes,869.0,Intel,Core i5,1,1,0,108.62,3.3945,Mid-range,Low (<=8GB)
ASUS TUF Gaming F17 FX707VV4-HX025 Intel Core i9-13900H/32GB/1TB SSD/RTX 4060/17.3'',New,ASUS,TUF,Intel Core i9,32,1000,SSD,RTX 4060,17.3,No,2099.0,Intel,Core i9,0,1,1,65.59,2.099,Premium,High (32GB)
"ASUS Vivobook 15X OLED M1503QA-R75BOHDSB1 AMD Ryzen 7 5800H/HS/16GB/1TB SSD/15.6"" (PT)",New,ASUS,VivoBook,AMD Ryzen 7,16,1000,SSD,Integrated,15.6,No,1149.04,AMD,Ryzen 7,0,1,0,71.82,1.149,High-end,Mid (16GB)
"ASUS ROG Strix G16 G614JI-N4006 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4070/16""",New,ASUS,ROG,Intel Core i9,32,1000,SSD,RTX 4070,16.0,No,2599.0,Intel,Core i9,0,1,1,81.22,2.599,Premium,High (32GB)
ASUS TUF Gaming F17 FX707VU4-HX028 Intel Core i9-13900H/32GB/1TB SSD/RTX 4050/17.3'',New,ASUS,TUF,Intel Core i9,32,1000,SSD,RTX 4050,17.3,No,1889.0,Intel,Core i9,0,1,1,59.03,1.889,Premium,High (32GB)
ASUS TUF Gaming F17 FX707ZU4-HX005 Intel Core i7-12700H/16GB/1TB SSD/RTX 4050/17.3'',New,ASUS,TUF,Intel Core i7,16,1000,SSD,RTX 4050,17.3,No,1619.0,Intel,Core i7,0,1,1,101.19,1.619,Premium,Mid (16GB)
"MSI Creator Z17 HX Studio A13VGT-046ES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4070/17"" Táctil",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4070,17.0,Yes,3129.0,Intel,Core i7,1,1,1,97.78,3.129,Premium,High (32GB)
"Razer Blade 17 QHD 240Hz Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/17.3""",New,Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3070,17.3,No,3499.99,Intel,Core i7,0,1,1,218.75,3.5,Premium,Mid (16GB)
"Acer Extensa 15 EX215-54-31DH Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Acer,Extensa,Intel Core i3,8,256,SSD,Integrated,15.6,No,394.0,Intel,Core i3,0,1,0,49.25,1.5391,Budget,Low (<=8GB)
"MSI Summit E16 Flip A13VFT-082ES Intel Core i7-1360P/32GB/1TB SSD/RTX 4060/16"" Táctil",New,MSI,Summit,Intel Core i7,32,1000,SSD,RTX 4060,16.0,Yes,2499.0,Intel,Core i7,1,1,1,78.09,2.499,Premium,High (32GB)
"ASUS VivoBook F1605PA-MB091W Intel Core i5-11300H/8GB/512GB SSD/16""",New,ASUS,VivoBook,Intel Core i5,8,512,SSD,Integrated,16.0,No,549.99,Intel,Core i5,0,1,0,68.75,1.0742,Mid-range,Low (<=8GB)
"Medion Erazer Deputy P10 MD62132 Intel Core i5-10300H/8GB/512GB SSD/GTX 1660Ti/15.6""",New,Medion,Deputy,Intel Core i5,8,512,SSD,GTX 1660,15.6,No,999.0,Intel,Core i5,0,1,1,124.88,1.9512,Mid-range,Low (<=8GB)
"HP OMEN 16-B1006NS Intel Core i7-12700H/16GB/1TB SSD/RTX 3060/16.1""",New,HP,Omen,Intel Core i7,16,1000,SSD,RTX 3060,16.1,No,1699.01,Intel,Core i7,0,1,1,106.19,1.699,Premium,Mid (16GB)
"ASUS Chromebook CX1400CNA-EK0225 Intel Celeron N3350/8GB/32GB eMMC/14""",New,ASUS,Chromebook,Intel Celeron,8,32,eMMC,Integrated,14.0,No,349.0,Intel,Celeron,0,1,0,43.62,10.9062,Budget,Low (<=8GB)
"Alurin Flex Advance Intel Core i5-1155G7/8GB/500GB SSD/15.6""",New,Alurin,Flex Advance,Intel Core i5,8,500,SSD,Integrated,15.6,No,500.0,Intel,Core i5,0,1,0,62.5,1.0,Budget,Low (<=8GB)
"Microsoft Surface Laptop 5 Alcántara Intel Evo Core i5-1235U/8GB/256GB SSD/13.5"" Táctil",New,Microsoft,Surface Laptop,Intel Evo Core i5,8,256,SSD,Integrated,13.5,Yes,1179.0,Intel,Core i5,1,1,0,147.38,4.6055,High-end,Low (<=8GB)
"LG Gram 16Z90Q Intel Evo Core i7-1260P/32GB/1TB SSD/16""",New,LG,Gram,Intel Evo Core i7,32,1000,SSD,Integrated,16.0,No,1819.01,Intel,Core i7,0,1,0,56.84,1.819,Premium,High (32GB)
"MSI Prestige 13 Evo A13M-032ES Intel Evo Core i7-1360P/16GB/1TB SSD/13.3""",New,MSI,Prestige,Intel Evo Core i7,16,1000,SSD,Integrated,13.3,No,1499.01,Intel,Core i7,0,1,0,93.69,1.499,High-end,Mid (16GB)
"MSI Prestige 16 Studio A13VF-041ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4060/16""",New,MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 4060,16.0,No,2239.01,Intel,Core i7,0,1,1,69.97,2.239,Premium,High (32GB)
"ASUS ROG Strix Scar 16 2023 G634JY-NM014W Intel Core i9-13980HX/32GB/2TB SSD/RTX 4090/16""",New,ASUS,14w,Intel Core i9,32,2000,SSD,RTX 4090,16.0,No,4949.01,Intel,Core i9,0,1,1,154.66,2.4745,Premium,High (32GB)
"Acer Predator Triton 300 SE PT316-51s-74LT Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/16""",New,Acer,Predator,Intel Core i7,16,512,SSD,RTX 3050,16.0,No,1589.01,Intel,Core i7,0,1,1,99.31,3.1035,Premium,Mid (16GB)
"HP OMEN 16-b1025ns Intel Core i7-12700H/32GB/1TB SSD/RTX 3070/16.1""",New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 3070,16.1,No,1999.0,Intel,Core i7,0,1,1,62.47,1.999,Premium,High (32GB)
"ASUS ExpertBook B1 B1402CBA-EB0821X Intel Core i7-1255U/16GB/512GB SSD/14""",New,ASUS,ExpertBook,Intel Core i7,16,512,SSD,Integrated,14.0,No,1189.0,Intel,Core i7,0,1,0,74.31,2.3223,High-end,Mid (16GB)
"MSI Titan GT77 HX 13VH-008ES Intel Core i9-13980HX/64GB/2TB SSD/RTX 4080/17.3"" + Bundle Gaming",New,MSI,Titan,Intel Core i9,64,2000,SSD,RTX 4080,17.3,No,4899.0,Intel,Core i9,0,1,1,76.55,2.4495,Premium,Ultra (>32GB)
"HP 250 G9 Intel Core i5-1235U/8 GB/512GB SSD/15.6""",New,HP,250,Intel Core i5,8,512,SSD,Integrated,15.6,No,559.01,Intel,Core i5,0,1,0,69.88,1.0918,Mid-range,Low (<=8GB)
"HP 250 G9 Intel Core i3-1215U/8 GB/256GB SSD/15.6""",New,HP,250,Intel Core i3,8,256,SSD,Integrated,15.6,No,417.99,Intel,Core i3,0,1,0,52.25,1.6328,Budget,Low (<=8GB)
"LG Gram 17Z90Q Intel Core i7-1260P/16GB/512GB SSD/RTX 2050/17""",New,LG,Gram,Intel Core i7,16,512,SSD,RTX 2050,17.0,No,1409.01,Intel,Core i7,0,1,1,88.06,2.752,High-end,Mid (16GB)
"ASUS ROG Zephyrus M16 2023 GU604VY-NM001W Intel Core i9-13900H/32GB/2TB SSD/RTX 4090/16""",New,ASUS,ROG,Intel Core i9,32,2000,SSD,RTX 4090,16.0,No,4299.0,Intel,Core i9,0,1,1,134.34,2.1495,Premium,High (32GB)
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16 GB/512 GB SSD/RTX3050/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,879.0,AMD,Ryzen 5,0,1,1,54.94,1.7168,Mid-range,Mid (16GB)
"Apple MacBook Pro Apple M1 Max/32GB/1TB SSD/16.2"" Plata",New,Apple,MacBook Pro,Apple M1,32,1000,SSD,Integrated,16.2,No,3849.0,Apple,Apple M,0,1,0,120.28,3.849,Premium,High (32GB)
"Acer Predator Triton 300 SE PT314-52s-76F0 Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/14""",New,Acer,Predator,Intel Core i7,16,512,SSD,RTX 3060,14.0,No,1739.0,Intel,Core i7,0,1,1,108.69,3.3965,Premium,Mid (16GB)
"ASUS VivoBook 15 F1500EA-EJ3108W Intel Core i5-1135G7/16GB/1TB SSD/15.6""",New,ASUS,VivoBook,Intel Core i5,16,1000,SSD,Integrated,15.6,No,665.0,Intel,Core i5,0,1,0,41.56,0.665,Mid-range,Mid (16GB)
"ASUS TUF Gaming F15 FX507ZU4-LP004 Intel Core i7-12700H/32GB/1TB SSD/RTX 4050/15.6""",New,ASUS,TUF,Intel Core i7,32,1000,SSD,RTX 4050,15.6,No,1699.01,Intel,Core i7,0,1,1,53.09,1.699,Premium,High (32GB)
"Acer Nitro 5 AN517-55-75RS Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/17.3""",New,Acer,Nitro,Intel Core i7,16,512,SSD,RTX 3060,17.3,No,1629.0,Intel,Core i7,0,1,1,101.81,3.1816,Premium,Mid (16GB)
"Primux IoxBook 15I3A Intel Core i3-1005G1/8GB/256GB SSD/15.6""",New,Primux,Ioxbook,Intel Core i3,8,256,SSD,Integrated,15.6,No,283.42,Intel,Core i3,0,1,0,35.43,1.1071,Budget,Low (<=8GB)
Lenovo Legion 5 15ACH6H-289 AMD Ryzen 5 5600H/8GB/512GB SSD/RTX3060/15.6'' (PT),New,Lenovo,Legion,AMD Ryzen 5,8,512,SSD,RTX 3060,15.6,No,1252.5,AMD,Ryzen 5,0,1,1,156.56,2.4463,High-end,Low (<=8GB)
"ASUS ROG Strix SCAR 15 G533ZS-HF043 Intel Core i9-12900H/32GB/1TB SSD/RTX 3080/15.6""",New,ASUS,ROG,Intel Core i9,32,1000,SSD,RTX 3080,15.6,No,3499.0,Intel,Core i9,0,1,1,109.34,3.499,Premium,High (32GB)
"Lenovo IdeaPad Flex 5 14ITL05 Intel Core i5-1135G7/16GB/512GB SSD/14"" Táctil",New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,Integrated,14.0,Yes,829.01,Intel,Core i5,1,1,0,51.81,1.6192,Mid-range,Mid (16GB)
"Samsung Galaxy Book3 Intel Core i7-1355U/16GB/512GB SSD/15.6""",New,Samsung,Galaxy Book,Intel Core i7,16,512,SSD,Integrated,15.6,No,1169.01,Intel,Core i7,0,1,0,73.06,2.2832,High-end,Mid (16GB)
"ASUS VivoBook F1605PA-MB090W Intel Core i7-11370H/16GB/512GB SSD/16""",New,ASUS,VivoBook,Intel Core i7,16,512,SSD,Integrated,16.0,No,769.0,Intel,Core i7,0,1,0,48.06,1.502,Mid-range,Mid (16GB)
"Lenovo V15 Gen 2 ALC AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 3,8,512,SSD,Integrated,15.6,No,399.0,AMD,Ryzen 3,0,1,0,49.88,0.7793,Budget,Low (<=8GB)
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 7 5800H/16GB/1TB SSD/RTX3060/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 7,16,1000,SSD,RTX 3060,15.6,No,1269.0,AMD,Ryzen 7,0,1,1,79.31,1.269,High-end,Mid (16GB)
"Acer Nitro 5 AN515-58-591S Intel Core i5-12500H/16GB/1TB SSD/RTX 3060/15.6""",Refurbished,Acer,Nitro,Intel Core i5,16,1000,SSD,RTX 3060,15.6,No,881.13,Intel,Core i5,0,0,1,55.07,0.8811,Mid-range,Mid (16GB)
"LG Gram 15ZD90R-G.AX75B Intel Evo Core i7-1360P/16GB/512GB SSD/15""",New,LG,Gram,Intel Evo Core i7,16,512,SSD,Integrated,15.0,No,1549.0,Intel,Core i7,0,1,0,96.81,3.0254,Premium,Mid (16GB)
"HP Victus 16-e1015ns AMD Ryzen 7 6800H/16GB/512GB SSD/RTX 3050/16.1""",New,HP,Victus,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1629.0,AMD,Ryzen 7,0,1,1,101.81,3.1816,Premium,Mid (16GB)
"Samsung Galaxy Book3 Intel Core i5-1335U/8GB/512GB SSD/15.6""",New,Samsung,Galaxy Book,Intel Core i5,8,512,SSD,Integrated,15.6,No,924.98,Intel,Core i5,0,1,0,115.62,1.8066,Mid-range,Low (<=8GB)
"LG Gram 17Z90P Intel Evo Core i7-1165G7/32GB/512GB SSD/17""",New,LG,Gram,Intel Evo Core i7,32,512,SSD,Integrated,17.0,No,2360.08,Intel,Core i7,0,1,0,73.75,4.6095,Premium,High (32GB)
"HP Pavilion 14-dv2012ns Intel Core i7-1255U/16GB/1TB SSD/14""",New,HP,Pavilion,Intel Core i7,16,1000,SSD,Integrated,14.0,No,1409.01,Intel,Core i7,0,1,0,88.06,1.409,High-end,Mid (16GB)
"Dell Vostro 5625 AMD Ryzen 5 5625U/8GB/256GB SSD/16""",New,Dell,Vostro,AMD Ryzen 5,8,256,SSD,Integrated,16.0,No,829.0,AMD,Ryzen 5,0,1,0,103.62,3.2383,Mid-range,Low (<=8GB)
"HP Pavilion Plus 14-eh0006ns Intel Core i7-12700H/16GB/1TB SSD/14""",New,HP,Pavilion,Intel Core i7,16,1000,SSD,Integrated,14.0,No,1629.0,Intel,Core i7,0,1,0,101.81,1.629,Premium,Mid (16GB)
"MSI Stealth 17 Studio A13VH-031ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4080/17.3""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4080,17.3,No,3599.0,Intel,Core i7,0,1,1,112.47,3.599,Premium,High (32GB)
"ASUS ROG Strix SCAR 17 2023 G733PZ-LL002 AMD Ryzen 9 7945HX/32GB/1TB SSD/RTX 4080/17.3""",New,ASUS,ROG,AMD Ryzen 9,32,1000,SSD,RTX 4080,17.3,No,2999.01,AMD,Ryzen 9,0,1,1,93.72,2.999,Premium,High (32GB)
"ASUS Vivobook 14 F1400EA-EK1543W Intel Core i3-1115G4/8GB/256GB SSD/14""",New,ASUS,VivoBook,Intel Core i3,8,256,SSD,Integrated,14.0,No,549.0,Intel,Core i3,0,1,0,68.62,2.1445,Mid-range,Low (<=8GB)
"ASUS VivoBook Pro 16X OLED N7600ZE-L2109 Intel Core i7-12700H/32GB/512GB SSD/RTX 3050 Ti/16""",New,ASUS,VivoBook,Intel Core i7,32,512,SSD,RTX 3050,16.0,No,2089.0,Intel,Core i7,0,1,1,65.28,4.0801,Premium,High (32GB)
"Apple Macbook Air Apple M2/8GB/512GB SSD/GPU Deca Core/13.6"" Midnight",New,Apple,MacBook Air,Apple M2,8,512,SSD,Integrated,13.6,No,1869.0,Apple,Apple M,0,1,0,233.62,3.6504,Premium,Low (<=8GB)
"Dell Vostro 3510 Intel Core i5-1135G7/8GB/512GB SSD/15.6""",New,Dell,Vostro,Intel Core i5,8,512,SSD,Integrated,15.6,No,738.55,Intel,Core i5,0,1,0,92.32,1.4425,Mid-range,Low (<=8GB)
"MSI Katana GF66 12UE-1203XES Intel Core i5-12450H/16GB/512GB SSD/RTX3060/15.6""",New,MSI,Katana,Intel Core i5,16,512,SSD,RTX 3060,15.6,No,1349.0,Intel,Core i5,0,1,1,84.31,2.6348,High-end,Mid (16GB)
"Acer Predator Helios 300 PH315-55-79BN Intel Core i7-12700H/32GB/1TB SSD/RTX3070/15.6""",New,Acer,Predator,Intel Core i7,32,1000,SSD,RTX 3070,15.6,No,2389.0,Intel,Core i7,0,1,1,74.66,2.389,Premium,High (32GB)
"ASUS Vivobook 17 F712EA-AU678W Intel Core i5-1135G7/16GB/512GB SSD/17.3""",New,ASUS,VivoBook,Intel Core i5,16,512,SSD,Integrated,17.3,No,889.0,Intel,Core i5,0,1,0,55.56,1.7363,Mid-range,Mid (16GB)
"MSI Stealth 17 Studio A13VI-030ES Intel Core i7-13700H/32GB/1TB SSD/RTX 4090/17.3""",New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4090,17.3,No,3818.77,Intel,Core i7,0,1,1,119.34,3.8188,Premium,High (32GB)
"Apple Macbook Air 2023 Apple M2/8GB/512GB SSD/GPU Deca Core/15.3"" Gris Espacial",New,Apple,MacBook Air,Apple M2,8,512,SSD,Integrated,15.3,No,1829.0,Apple,Apple M,0,1,0,228.62,3.5723,Premium,Low (<=8GB)
"Gigabyte AORUS 5 SE4-73ES214SD Intel Core i7-12700H/16GB/1TB SSD/RTX 3070/15.6""",New,Gigabyte,Aorus,Intel Core i7,16,1000,SSD,RTX 3070,15.6,No,1949.01,Intel,Core i7,0,1,1,121.81,1.949,Premium,Mid (16GB)
"Primux ioxbook 15R5C AMD Ryzen 5 3450U/8GB/512GB SSD/15.6""",New,Primux,Ioxbook,AMD Ryzen 5,8,512,SSD,Integrated,15.6,No,338.81,AMD,Ryzen 5,0,1,0,42.35,0.6617,Budget,Low (<=8GB)
"ASUS VivoBook 13 Slate OLED T3300KA-LQ069W Intel Pentium Silver N6000/8GB/128GB SSD/13.3"" Táctil",New,ASUS,VivoBook,Intel Pentium,8,128,SSD,Integrated,13.3,Yes,776.14,Intel,Pentium,1,1,0,97.02,6.0636,Mid-range,Low (<=8GB)
"Lenovo IdeaPad Flex 5 14ITL05 Intel Core i7-1165G7/16GB/512GB SSD/14"" Táctil",New,Lenovo,IdeaPad,Intel Core i7,16,512,SSD,Integrated,14.0,Yes,979.0,Intel,Core i7,1,1,0,61.19,1.9121,Mid-range,Mid (16GB)
"Apple Macbook Air Apple M2/16GB/512GB SSD/GPU Deca Core/13.6"" Midnight",New,Apple,MacBook Air,Apple M2,16,512,SSD,Integrated,13.6,No,1969.01,Apple,Apple M,0,1,0,123.06,3.8457,Premium,Mid (16GB)
"Acer Nitro 5 AN517-55-78S2 Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/17.3""",New,Acer,Nitro,Intel Core i7,16,512,SSD,RTX 3050,17.3,No,1539.0,Intel,Core i7,0,1,1,96.19,3.0059,Premium,Mid (16GB)
"ASUS Chromebook CX1400CNA-EK0238 Intel Celeron N3350/4GB/32GB eMMC/14""",New,ASUS,Chromebook,Intel Celeron,4,32,eMMC,Integrated,14.0,No,299.0,Intel,Celeron,0,1,0,74.75,9.3438,Budget,Low (<=8GB)
"Alurin Flex Advance AMD Ryzen 5 5500U/8GB/500GB SSD/15.6""",New,Alurin,Flex Advance,AMD Ryzen 5,8,500,SSD,Integrated,15.6,No,459.0,AMD,Ryzen 5,0,1,0,57.38,0.918,Budget,Low (<=8GB)
"Lenovo V15 IGL Intel Celeron N4020/8GB/256GB SSD/15.6""",New,Lenovo,V15,Intel Celeron,8,256,SSD,Integrated,15.6,No,322.49,Intel,Celeron,0,1,0,40.31,1.2597,Budget,Low (<=8GB)
"MSI Summit E13 Flip Evo A13MT-087ES Intel Evo Core i7-1360P/32GB/1TB SSD/13.4"" Táctil",New,MSI,Summit,Intel Evo Core i7,32,1000,SSD,Integrated,13.4,Yes,1899.0,Intel,Core i7,1,1,0,59.34,1.899,Premium,High (32GB)
"Acer Extensa 15 EX215-54 Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Acer,Extensa,Intel Core i3,8,256,SSD,Integrated,15.6,No,413.99,Intel,Core i3,0,1,0,51.75,1.6171,Budget,Low (<=8GB)
"Acer Predator Triton 500 SE PT516-51s-79HF Intel Core i7-11800H/16GB/1TB SSD/RTX 3060/16""",New,Acer,Predator,Intel Core i7,16,1000,SSD,RTX 3060,16.0,No,1929.01,Intel,Core i7,0,1,1,120.56,1.929,Premium,Mid (16GB)
"Lenovo IdeaPad 3 15ALC6-913 AMD Ryzen 7 5700U/8GB/512GB SSD/15.6"" (PT)",New,Lenovo,IdeaPad,AMD Ryzen 7,8,512,SSD,Integrated,15.6,No,730.97,AMD,Ryzen 7,0,1,0,91.37,1.4277,Mid-range,Low (<=8GB)
"MSI Creator M16 B13UDX-686ES Intel Core i7-13700H/16GB/1TB SSD/RTX 3050/16""",New,MSI,Creator,Intel Core i7,16,1000,SSD,RTX 3050,16.0,No,1699.01,Intel,Core i7,0,1,1,106.19,1.699,Premium,Mid (16GB)
